Generation,Individual
11,"[4.989523978185329, 5.188108176532872, 4.827543160394787, 5.234939117640831, 4.397686746224981, 4.906380875833724, 3.622174045344072, 3.146373645984581, 5.213525794445439, 2.817110176728992, 6.16872045431623, 5.705070256600501, 4.530472248919625, 5.79233364698579, 4.553251853477272, 5.495276593047696, 4.878789342876227, 3.0249093508258356, 4.553507429854028, 6.028311549576253, 5.38514273540625, 4.257872137394355, 5.452702232318936, 3.9903880279472523, 4.69664270045253, 4.850209543914559, 4.50989061301883, 4.536418958586865, 3.950130615272095, 4.9088750584116925, 5.302089682746624, 4.570211972524213, 5.081380892186918, 5.382271016256602, 5.421563703579301, 5.471218718572182, 5.620332827148985, 5.072296416256794, 3.922160629182745, 5.027400474796713, 3.926685070070707, 4.2213409792213, 4.372348034618685, 5.242219654377239, 3.891005281460255, 5.583261068747515, 5.278632191482043, 5.457308041210219, 5.075816248014894, 4.84732613337413, 5.981326235928767, 5.042059887815009, 5.102808394153277, 5.486596509354665, 4.2216331569119845, 5.885885462597267, 3.2336549336103357, 4.651134628335389, 4.082651308999246, 3.145817392248398, 4.512558023702351, 5.111529381961509, 4.036097119082006, 4.186528214556885, 5.411731337098358, 3.9928771706761355, 5.6391028125596145, 5.8825800764030305, 6.834762653616547, 4.408577909446614, 5.010046245996735, 3.3860548299158193, 5.288478981510083, 5.1529964429736035, 5.397501671023856, 5.188404865220702, 4.608398977664568, 5.022611742099709, 5.101101632082688, 6.779381054445212, 5.145824087872295, 5.146096539077341, 5.147817566532646, 5.140521769907152, 5.152172066168404, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.132761082826169, 5.1309791056438385, 5.13087295830263, 5.1298775807811285, 5.1618879691680135, 5.16211389993765, 5.164816592094644, 5.165938530291286, 5.125040966425618, 5.168274795602812]"
12,"[5.017158431111313, 3.9109513403737086, 5.231138974932752, 5.377278719899071, 4.62317705974866, 4.900323943226444, 4.703497137027292, 5.730259093805825, 6.036708538870898, 5.313541137318067, 4.802769237181662, 4.149512119243857, 5.263087566265538, 6.594603569371178, 5.002153945656481, 6.643734537824362, 4.779801271006786, 5.047526697006226, 4.8355146430723766, 7.866034275775753, 3.856293952485536, 3.9245307946542587, 5.38171782259387, 5.07587479737203, 6.58403949514009, 4.649467078493302, 6.53055261867651, 5.295387188153246, 5.355406793115213, 4.883237144385126, 5.771493118585563, 4.769879773139591, 6.6213449844323184, 4.387594686116825, 5.236241692252371, 4.733404086406192, 5.266073624446238, 5.990847388607795, 5.212901923030255, 4.144480229902837, 5.5562380477550875, 4.574841749878688, 3.798675408131288, 5.01699178030367, 3.7682696738580113, 3.8092721218048666, 4.665258970852529, 3.2850234964916254, 5.180749752032894, 2.1800432813425514, 4.758157209614804, 6.8958407618149655, 5.211001106736823, 5.205737910868487, 5.24545016851687, 5.303674531412186, 5.11526398486995, 5.781209706850051, 5.496970562968601, 4.695343999703617, 4.791449884874458, 5.622851598443889, 5.572798066213033, 3.0457665662112454, 4.4296237561053955, 5.9926009922419485, 4.391439948152723, 5.452985111954995, 4.963583766306376, 5.239294700980296, 4.921033831294623, 6.023795209845277, 5.278641866476818, 4.731288010261693, 4.682328422628048, 5.28560808166557, 4.572887730235621, 4.904452433400458, 4.755302367876854, 6.007930403427816, 5.145824087872295, 5.146096539077341, 5.147817566532646, 5.140521769907152, 5.152172066168404, 5.1529964429736035, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.132761082826169, 5.1309791056438385, 5.13087295830263, 5.1298775807811285, 5.1618879691680135, 5.16211389993765, 5.164816592094644, 5.165938530291286, 5.125040966425618]"
13,"[6.078769821622453, 5.377381141844813, 5.189807923810442, 4.824039583823186, 2.7372962528211175, 5.303693736779758, 5.63599231666314, 2.8927099463671873, 4.102618525543521, 6.37932824582866, 5.335378801236997, 5.061121844352259, 2.634652646966322, 4.280065787109898, 4.849484006996227, 5.376299976230964, 5.744777587513195, 5.371479344837465, 5.377594581359524, 5.445583881091925, 3.5819365091788344, 4.297525491529074, 5.091816162691067, 4.657381945534936, 4.663286398689992, 5.786023651866008, 5.17661445165145, 5.650386104114098, 5.625693433651481, 5.684087834272458, 4.864549941782917, 3.7230572922269216, 4.962085943920418, 6.178581005992551, 5.0562994542125415, 3.9220723429245337, 4.426507445725912, 5.089989523265241, 5.211014180503929, 5.84391969649631, 5.4496126889498, 5.704837983075299, 6.101822363529175, 6.161752321605185, 4.981940288950053, 2.357864971824661, 5.0691513230791365, 5.196003663419733, 4.364513052825066, 5.574456833792538, 5.609286921291991, 6.228329584205968, 5.821856668443556, 5.149609246344301, 2.6865776226275395, 5.163155603312709, 5.755299858566716, 4.928954611046045, 5.260522497312466, 6.708737770998212, 1.8972619313167307, 5.130549004638867, 5.908973540555454, 5.245855977519266, 4.2226088482283926, 4.961645241983357, 4.96232457338148, 5.221046808350854, 5.3112475679409865, 3.7639399718724187, 5.603755481463236, 4.06183637888303, 4.3933875613271836, 4.693016972372421, 5.192698880712487, 5.059965128373436, 4.573561510675812, 6.787735190503754, 4.672719875637194, 5.02280036572016, 5.145824087872295, 5.146096539077341, 5.147817566532646, 5.140521769907152, 5.152172066168404, 5.1529964429736035, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.132761082826169, 5.1309791056438385, 5.13087295830263, 5.1298775807811285, 5.1618879691680135, 5.16211389993765, 5.164816592094644, 5.165938530291286, 5.125040966425618]"
14,"[5.558278833312483, 4.044668278221878, 5.265162069493389, 5.448154568625876, 5.413611958216599, 3.2075524876746164, 6.1618161488417895, 3.8937892711566247, 4.583716682911516, 5.310789744839368, 5.463784269513431, 4.708839835524591, 4.329183435393106, 6.5592028485357154, 5.305537416888119, 4.66966330538267, 5.1465584977624825, 4.778844812078964, 4.993432538120565, 5.3142412857197865, 5.342931361911372, 5.004760521955943, 4.021726207122196, 2.955816958836582, 5.975118561584444, 5.627221716513087, 4.832686018091983, 3.4060949576521367, 3.8604350014218025, 4.937369273278753, 5.77572399137761, 4.95757015688777, 5.998222266076565, 6.580668411826279, 3.804528819227343, 5.113778488645637, 4.978057070604851, 5.581302131738546, 5.074157560994941, 4.890136568261703, 5.156764431117292, 4.553158655048396, 5.151344085823322, 5.183513217465582, 4.6706894801699645, 3.800725805470433, 3.695171219485389, 6.101752551943971, 4.8569663553933635, 5.328623019702857, 5.316289981645134, 7.062418450415843, 3.960126338172956, 5.209046316738526, 5.255738355750235, 5.436248160131313, 5.498357287796098, 6.986501136062882, 5.098450615063665, 2.8103526198332, 5.338063976279432, 5.770020577311693, 5.448261862042705, 4.617013674786503, 3.4264096746508237, 5.158430637309099, 4.702677735963849, 5.985201596996008, 4.506075503928076, 4.915524270964306, 5.327283270570179, 4.442452856209938, 5.552679977885527, 4.666582606021928, 5.6279678565998585, 5.2483003531845025, 4.85226111795936, 4.529725419815377, 4.566521493515924, 5.013653807129401, 5.145824087872295, 5.146096539077341, 5.147817566532646, 5.149609246344301, 5.140521769907152, 5.152172066168404, 5.1529964429736035, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.132761082826169, 5.1309791056438385, 5.13087295830263, 5.130549004638867, 5.1298775807811285, 5.1618879691680135, 5.16211389993765, 5.163155603312709]"
15,"[5.113974998073731, 4.611541360273059, 5.199051233897638, 5.138662573252189, 6.1763381145179075, 6.144897715432738, 4.615627605444285, 5.344077104212124, 4.617349892717695, 5.664711467086927, 5.5452193595081205, 4.898841506995383, 4.906777468432094, 5.215239139540813, 5.1524419970751945, 5.551004666759591, 4.366995025694695, 4.944181085717686, 4.074299237109686, 2.7277311024437623, 5.241276203051473, 5.005643979347293, 4.951490913040151, 3.2422777941364638, 5.848764282278872, 3.4801018001185895, 5.649478551147855, 4.692602936982233, 5.29870720592005, 4.960833450566724, 4.275044449825851, 5.0346450442347255, 4.903966453895199, 6.387276125275405, 5.373099472113758, 4.901867668297535, 5.113162417948857, 5.585930487522793, 3.5545699284428833, 4.831862472590774, 6.345036422201834, 5.79545484031774, 6.389308492610491, 6.062736075915632, 5.432135043828613, 5.4410658830759635, 5.86441359323789, 4.63715685890913, 6.073005982765452, 5.879495449398918, 5.213836120436568, 5.395302115994288, 3.650882919234438, 3.284713510526594, 4.383277259055934, 5.2651698850740365, 3.063204040574632, 4.498995044618702, 6.053816718608635, 4.706006293474422, 2.184519220888971, 5.144365651254307, 3.1205787582389917, 5.213883261355777, 4.70196065860231, 4.846172931518981, 5.575367722458461, 4.985959396400165, 4.33427719982252, 4.599390443897452, 6.543831893415193, 5.760779822184379, 6.181965759795697, 5.100826883652576, 5.387175052992042, 5.627023179348848, 4.394975007800293, 5.025936988827658, 5.481527526685348, 4.402618406480395, 5.145824087872295, 5.146096539077341, 5.1465584977624825, 5.147817566532646, 5.149609246344301, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1529964429736035, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.156764431117292, 5.158430637309099, 5.132761082826169, 5.1309791056438385, 5.13087295830263, 5.130549004638867]"
16,"[6.1480699855341125, 4.542349774375571, 5.165312073542918, 5.379649940607994, 4.870855299197565, 5.004848134094939, 2.9029453905830627, 6.024571948139722, 5.246192704597876, 5.3313468552734955, 4.502426951147155, 5.764323289819244, 6.21120645492373, 5.530168205197739, 3.616328702126438, 4.532476158837555, 5.476882654369021, 3.6623058228321552, 5.5754487148271705, 5.1051536890720115, 3.6761143296538767, 5.322487982407258, 4.953419105388224, 4.967293517018742, 3.7009878341431053, 4.704518208528388, 5.706491148584157, 4.606738117088678, 4.220148600211248, 5.406187245138256, 3.563550259875416, 5.052903608976596, 5.2620540560329, 4.843238906931404, 4.414243305731845, 4.301051528929586, 4.7848722052356205, 4.714562813123033, 4.717432234473761, 5.229856945356863, 5.471764570916273, 4.78665844928808, 4.357534991154064, 5.376483303111356, 4.775388045911149, 3.861619679817007, 5.3840643442892535, 5.287665966122144, 3.976283708910305, 5.713047238535868, 5.746465169527255, 5.247652692072142, 5.195132829834716, 5.7986448553009176, 5.344793829497961, 4.727445681863334, 5.203694653160652, 4.638064183481057, 3.8403818799627163, 5.434179767817274, 4.853467198182049, 5.240862197423772, 5.878248707689042, 5.159817730208021, 5.695255551501339, 4.823730624337862, 4.177267061055, 4.5907437514616065, 4.344602789148721, 5.007351269532743, 4.581105757593427, 4.716358386464365, 4.959813955481275, 5.80182395152466, 5.380762032268536, 5.072584495591827, 4.8538073653050064, 4.862034097149237, 5.209041821320409, 5.41519175586446, 5.145824087872295, 5.146096539077341, 5.1465584977624825, 5.144365651254307, 5.147817566532646, 5.149609246344301, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.156764431117292, 5.158430637309099, 5.132761082826169]"
17,"[4.975390412229233, 5.243378666441977, 5.141185220650172, 5.033174258959318, 4.577118286469353, 5.625189171769303, 4.624421165739997, 3.716103251545408, 5.355899017931035, 2.8072745237034646, 5.886357828946898, 3.4957295293272734, 4.771950122459225, 5.209232547144345, 2.146183510730938, 4.361533243914498, 5.022808654405863, 5.385510139963038, 4.413265074277292, 5.365170717912782, 5.3852354721568085, 5.678099046180206, 5.049442868925873, 5.260698090506731, 6.907486865827357, 4.161709655648166, 5.354340519676728, 5.607902775378119, 5.403390822983696, 5.100953789033996, 2.9231313636277423, 3.140113567046198, 4.615444925867194, 4.596124735447505, 5.074022953579522, 5.243682359432319, 5.10605490229599, 4.95626040766233, 3.184150757270454, 4.659689635571244, 4.722385298817401, 5.59925786117453, 5.465387689646462, 4.907657532995113, 4.645538090468379, 5.289640559150401, 5.464194921493123, 5.381970517501481, 5.189883558943042, 5.1203015935275875, 5.689491809481775, 4.183782793675229, 3.5306891458393954, 4.888728732054871, 3.972186488117555, 5.3294169284507875, 5.741053486585763, 5.228908989625852, 3.6014622133916965, 5.109907330547474, 5.23916639489086, 5.045912972562364, 6.209411197160533, 4.57293325293385, 4.9674190550900015, 3.112843903857744, 4.870217897306887, 5.133805011755344, 3.949259385551641, 5.4872529929076155, 4.69403061134848, 5.048981746500385, 4.060826439858085, 3.695275443909765, 3.3962313756998275, 4.991678820943098, 5.031413683516984, 5.360086148010841, 4.812462016498539, 5.1741798922706845, 5.145824087872295, 5.146096539077341, 5.1465584977624825, 5.144365651254307, 5.147817566532646, 5.149609246344301, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.156764431117292, 5.158430637309099, 5.132761082826169]"
18,"[6.023125346344075, 4.445610260017401, 4.878364758533258, 5.257490354988553, 6.172148656953642, 5.535079113123898, 2.5973585806363024, 5.34357523860125, 4.995766644060198, 5.444966536828194, 4.989790470958976, 6.357323417234017, 5.1605745880574965, 3.498634686756616, 4.8835144550400935, 4.531510374880939, 5.544603261443811, 5.202870173742191, 3.8713172354658805, 4.2311561157247075, 5.012495977715742, 5.675894855002344, 5.7350386048806525, 4.861604582437396, 5.130319820677106, 5.1784493457278895, 5.1724958128404435, 5.388297887707229, 3.7537233882911574, 6.963321376487286, 4.650918165657284, 5.224334659542061, 3.9370652698961806, 4.386917464208435, 5.0865853127162435, 5.18148819447846, 4.873588420531815, 5.165517550668238, 5.914604427645185, 4.0648368972669235, 5.590100027933972, 5.153171941667139, 4.897363916084924, 5.68571651015937, 5.543101019824109, 5.605311873059209, 5.310629087257794, 6.090093704313231, 4.853499595898172, 5.093458684356525, 4.205303202161684, 5.629769468720678, 5.477886012328265, 6.027829233437745, 5.541484707917103, 5.386110309056325, 3.3402071367877717, 6.221528145380699, 4.089473415326527, 4.109632179234032, 5.1251649359514815, 5.092015701601079, 4.621858717124319, 4.496168505173099, 5.571378315444312, 4.4727709091700145, 6.2066611197311, 5.476004477374836, 5.847606560874318, 5.289195930167111, 5.187298398565007, 5.0398636515930555, 5.210774706535736, 5.211376576995857, 5.426122461005917, 5.168491099994198, 4.354465859935955, 5.00204931145079, 5.335079147959588, 6.297735381079845, 5.145824087872295, 5.146096539077341, 5.1465584977624825, 5.144365651254307, 5.147817566532646, 5.149609246344301, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.156764431117292, 5.133805011755344]"
19,"[6.0844795702582815, 5.084266357895396, 4.724521050431126, 4.235348989384325, 5.074115004192146, 4.7447454021376, 5.359374718674165, 6.796017473434096, 4.932269020128733, 5.95672077705335, 3.954038640839633, 5.642756045705612, 6.558195616506317, 5.240191409463014, 5.5369301557387445, 5.000122448625405, 3.1983380398159884, 3.4380934620233337, 3.0374032429854525, 5.753048190655264, 6.572321475321943, 4.572679636407528, 4.938169466138058, 5.287041620994506, 4.144278750017022, 6.14040458093728, 5.026055155095948, 5.785939608161307, 5.698667346854909, 5.5840191415417255, 5.146070012013076, 5.0124152661389285, 4.927400250607531, 5.033064795387949, 4.337576014210315, 5.013837929348898, 5.092914273889006, 4.852032500577952, 4.889163115250214, 5.257117258269654, 4.657509040486578, 4.637041653035169, 6.029297652670026, 4.587814832941859, 5.03420466650213, 4.9522587330933705, 6.081098748161546, 4.9890574216557875, 5.332446528868669, 4.8346336859859615, 3.889528379031729, 4.608976805885995, 4.761353900718915, 5.810299584314697, 5.734941670339608, 3.399128422033672, 4.82610151458179, 5.367835623748068, 5.905583657828905, 5.715493382314074, 3.727882895472618, 3.9172736521297593, 5.69765457345294, 4.91387903718897, 5.191190387097478, 4.190009679287308, 4.972295811910262, 4.777579160304251, 4.075298368828921, 5.5149529396212555, 5.00042049056786, 4.1479089118373365, 5.309602538965541, 4.734552714777254, 5.692020344973599, 4.646763395081059, 5.268852673621504, 4.505768342930258, 6.127055351155179, 4.767509770845398, 5.145824087872295, 5.146096539077341, 5.1465584977624825, 5.144365651254307, 5.147817566532646, 5.149609246344301, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.153171941667139, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.156764431117292]"
20,"[4.703394081961251, 5.339898485934663, 4.47602148473113, 6.370297746726245, 5.271469130778806, 5.613716316390683, 5.223627429415896, 5.471704470536846, 5.285214713880735, 5.369539806460759, 5.80285808445964, 6.4053097034580535, 5.624485911644241, 5.038340238385672, 7.030151268287671, 4.723480333333591, 4.566465089347273, 4.213382667461058, 4.423928127721475, 4.604250026126609, 4.9640310649629065, 5.355221247935422, 5.09438140141693, 4.6736700302458685, 4.543011435251677, 5.764801113716692, 4.732476829603888, 4.942230840744095, 5.315515368472591, 6.50809663898368, 5.520089486590159, 5.020266692268372, 3.566327150123776, 5.128807215435849, 5.236296051090504, 4.994923538986883, 3.891353712607083, 5.712318672388386, 5.685125366663117, 4.86712017352518, 5.039766504911982, 5.2400553190244405, 4.961845359062776, 7.3608258103856885, 5.04975748774075, 4.460339706202658, 5.17811430336077, 4.893786414469187, 5.434299779026276, 4.76952883122314, 2.692385418270325, 4.274999186769707, 5.3274015374665655, 5.484930853837536, 6.123093593597543, 4.810773140124716, 4.667480021797421, 5.211513880191688, 5.611434363146862, 4.688717691233653, 5.0271368710571185, 5.176451781791885, 5.034262624591545, 5.945297325864844, 5.32922348336602, 5.952241624418624, 3.365810870888088, 5.222157859065836, 5.0046931811398565, 4.887398350604007, 5.115371857307953, 5.599998336689478, 5.9422393937484435, 4.806584774789623, 5.584961338190573, 4.256757411240511, 4.924845189407416, 5.207621900181817, 3.85809731906223, 4.08358634845786, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.1465584977624825, 5.144365651254307, 5.147817566532646, 5.149609246344301, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.153171941667139, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964]"
21,"[4.898322524330641, 5.531355099273929, 5.69969956481488, 6.097791684125698, 4.971784530715986, 6.220796069837147, 5.680583436382893, 5.273590701117389, 4.6544641306983605, 5.307033293269166, 4.715134479483487, 5.026544005228751, 6.098325176639722, 5.592209044493044, 4.946319805949479, 5.217336310654523, 5.055676196919322, 5.729660140087056, 4.481087876504146, 4.251188599274247, 3.9878276226332856, 2.9380627121924014, 4.686453534739341, 4.567462518485569, 4.890849634145523, 5.413588746638309, 4.830130239739402, 5.313652741308585, 5.251442160699828, 5.053116812315696, 3.449353848129273, 7.148943595461322, 6.867522710298556, 4.947995887165812, 4.065610227139373, 4.77669888620829, 5.736291784058141, 4.585317264856116, 4.427350143964367, 6.557308334833616, 4.827696951253802, 4.525571162473012, 4.353379814369736, 4.860260475283154, 5.30926044059635, 5.601512351730834, 5.1078568032541645, 7.383656695133451, 5.184486894003601, 5.01465138612043, 3.549840616524919, 6.666795639477606, 5.6838148886771425, 3.729925103980134, 6.061710401783892, 3.6142327596111383, 4.197322874427721, 4.751280421238861, 6.482892308561563, 5.162646481373503, 4.712018663381727, 5.682735190128786, 5.347700187316737, 5.153485241383691, 2.604845177067806, 4.447733069641979, 5.395890020272776, 5.116870974737844, 5.230732832947563, 5.15705300804407, 4.732652888345908, 4.3513781243829985, 5.1890885583031725, 5.8851269444840195, 4.007519742312882, 4.722388526751429, 5.984471709465101, 4.471368606116356, 5.867069563313461, 5.056683891313584, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.1465584977624825, 5.144365651254307, 5.147817566532646, 5.149609246344301, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.153171941667139, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964]"
22,"[3.576322121552063, 4.644928317205455, 5.189448229343517, 5.849465577717258, 6.645773180166007, 5.083153661585106, 5.2636228465887385, 4.592724919974414, 4.440550957505239, 5.945803143087133, 5.077670927382125, 6.53561588652029, 5.004925669424976, 5.092501660153024, 4.159240062901757, 7.139830453078485, 5.581652493522004, 5.224048268112385, 4.320916563831187, 5.257889353016196, 4.704179655548494, 6.030626375282711, 4.813996269654926, 4.394530783010015, 6.804108720943561, 4.236963217166082, 3.8055423556149015, 5.193285974630628, 5.136637643745054, 5.832125475761977, 5.060880558036742, 5.453069855281391, 4.7218384741972965, 5.1057838166760945, 4.2155299371875925, 5.315300654707308, 4.891978431442224, 5.292042891591503, 7.226735948850693, 5.308576880393595, 5.211778399190036, 3.8346997331117834, 3.9373114613610807, 4.992422420683544, 7.116137480796736, 5.0534021605587895, 4.809409555000212, 3.412878330082672, 4.8920727933042105, 5.376382865779258, 5.394229665730955, 5.044928848015371, 5.333321458120843, 5.17951161714838, 6.055633772120224, 4.860740148740577, 6.546976799246238, 5.53416029584854, 4.3556072546459825, 6.113577929680833, 6.240934372003814, 5.0275087043297955, 5.647267038713685, 5.24771970081567, 5.008279075214533, 5.369286011350459, 5.059217092948473, 4.779067248102391, 4.257679310117959, 4.688628353011716, 5.281377240482384, 6.102054337269555, 5.085310323352613, 5.510481843496271, 5.153356615942955, 4.32119911559606, 6.216494039799683, 4.461296980268453, 5.321866879785188, 5.073177698294266, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.1465584977624825, 5.144365651254307, 5.147817566532646, 5.149609246344301, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.153171941667139, 5.153485241383691, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624]"
23,"[6.24022438445227, 5.868601429954152, 5.14766761780435, 5.3967872704335536, 4.947765888133136, 5.181351843704311, 5.1909217575514415, 5.168617676784953, 5.13275070001248, 5.08591114769176, 5.811435044760729, 4.840496757440636, 2.7007836024959064, 4.230061741873128, 4.5672282787551675, 5.637047631851783, 5.221606617248539, 4.442665470284286, 6.019211476281946, 4.411482171819256, 4.625316777545045, 6.050176396955869, 5.658267642075646, 6.305783547511192, 4.779553175468546, 3.5384367861733246, 4.62183042924911, 3.6076860195185403, 4.726687686723535, 5.347572354688301, 4.244174019533672, 5.746050992853835, 3.516515538399159, 5.50152293078209, 5.489012892861694, 4.849038982291462, 4.827965902386966, 3.6421260144357412, 5.161401278943542, 5.069559997151398, 4.610345431889501, 4.82266920194737, 5.202723536941075, 4.625941992109242, 5.075059990634929, 4.691169466466384, 3.560053702093697, 5.407618500114394, 5.963945223003428, 5.149051176116564, 4.824283265876876, 6.1643991807379095, 4.596394434288601, 3.7990492879008824, 3.814969512782219, 6.601135653395234, 5.027105046188661, 5.231105752134448, 5.065899625481034, 5.41765138159826, 5.123771828692528, 4.772071523782763, 4.396779825545438, 5.222871390710886, 4.067808661437225, 4.205362904903012, 3.6281018154649933, 5.354672523740497, 5.656573348596963, 4.373086648428222, 4.09803016263168, 5.681825095051267, 3.8625699970583507, 6.248577569651848, 5.781180745286086, 6.394328828011493, 5.5891758152247615, 4.9578022622018825, 6.047905065363175, 4.063547477866636, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.1465584977624825, 5.144365651254307, 5.147817566532646, 5.149609246344301, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.153171941667139, 5.153356615942955, 5.153485241383691, 5.154163951094372, 5.136637643745054, 5.155045043519267]"
24,"[5.5314053460378965, 4.483824079961189, 5.0298516825811515, 5.518738049313271, 5.0392103569089155, 5.019278908236761, 5.111017395048037, 5.571251564687521, 4.598472839429814, 4.18409474659144, 5.506807575398371, 5.629885990309304, 5.934850186984766, 5.436479325095241, 4.304874401443987, 5.835815064786149, 4.616181665846341, 4.936562011506192, 5.058828174847858, 4.61724896986952, 4.589533073931646, 6.27724738084866, 5.848422828986734, 5.590554555125581, 5.1258373138013456, 5.505750453650342, 4.938154171943436, 5.318215266649642, 4.831757818800099, 5.009854831029788, 4.544618854886867, 6.013098544375689, 6.3858531320617775, 4.168284654067909, 7.413471953228798, 5.535443069342902, 4.941093330003658, 5.666412407033284, 3.6673255533672147, 5.09626569374455, 5.587337048293913, 4.336527738421793, 5.174231293800609, 4.178184927787477, 3.6353784926688277, 5.770332017844345, 4.69345528747666, 5.040095844993191, 5.3041155369777355, 5.348249304860298, 4.941697242583069, 5.9435723185149, 5.50891098493917, 5.030144165413546, 3.8306415063262977, 5.834407904585962, 3.694395050662108, 4.034737943001681, 4.270460639727391, 4.376812105838427, 5.148383523625296, 4.994635563462996, 4.960082520443447, 4.813564356491429, 4.960614563736659, 5.186044965651227, 4.8482315157898235, 4.407478442072588, 4.328738619488664, 3.201575315681641, 4.893341837204392, 4.903979089172838, 2.943390850731984, 6.075691736597175, 4.5994114491080635, 5.515089852315764, 4.519462377550396, 4.911782863478782, 5.3293209557720544, 4.898767702996642, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.149051176116564, 5.149609246344301, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.153171941667139, 5.153356615942955, 5.153485241383691, 5.154163951094372]"
25,"[5.368358006322481, 5.240761346093862, 4.9639966144680265, 5.104115931658004, 5.259518092480015, 5.323793997095612, 5.25365293714814, 5.176972049916904, 3.1421024936349715, 4.9253751202494875, 4.530573563905941, 5.303635353491387, 3.5275299391520716, 5.8412503376075, 5.03757656583232, 5.69718747341099, 4.4649637648993945, 5.5945128918343805, 4.644739564617455, 5.144934790491882, 4.140433014627185, 4.8906152858348495, 5.317870807540408, 4.758647001966967, 5.022271540300894, 5.223741014713792, 5.402723330666744, 5.933593425469592, 5.031559819509512, 5.106298487002976, 4.986515641534769, 6.507254633535917, 2.4979628119422417, 4.951440728563194, 4.429286180976981, 4.356602027006304, 5.183334322635945, 5.48093134268133, 5.227241571046747, 4.263368080849618, 5.220779326499757, 4.8683935428918295, 3.7934641097408246, 5.449354479340337, 5.424887555806476, 5.269696795094687, 5.760140217825748, 5.338552583067184, 5.104961015349719, 4.8043262249580145, 5.820627038448903, 5.679117902843129, 4.9969248903681525, 4.581628194516434, 4.659053383976803, 5.060609783239277, 4.296789928722439, 5.200600699233014, 4.0340961528367725, 4.575338040862221, 5.277337676933156, 5.145755808548828, 5.601951789460792, 5.5065992303331806, 4.7625914851228766, 5.63416709988503, 6.459817994907443, 4.613880256825812, 5.5779526101900725, 4.66165367149628, 3.773480786823918, 4.316296968426746, 4.542607351188808, 5.616430173393272, 5.3652772713297745, 5.291801266030772, 3.804370566431966, 4.996353527636293, 5.0470800032371645, 2.5555469345469195, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.149051176116564, 5.149609246344301, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.153171941667139, 5.153356615942955, 5.153485241383691]"
